acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time,sysTime,timeDifference
Citicorp International Limited,04-DEC-2024 to 04-DEC-2024,VEDL,0.0,,2204724753,Reg29(2),Vedanta Limited,142675,N,Acquisition,Others,Others,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_12102024130447_43131.zip,10-Dec-2024 13:04,"10-Dec-2024, 13-04",10-Dec-2024 13:04,00:00:04
Citicorp International Limited (as trustee for the holders of the Bonds),03-DEC-2024 to 03-DEC-2024,VEDL,1603046914.0,,1603046914,Reg29(1),Vedanta Limited,142606,N,Acquisition,Others,Equity shares,40.99,40.99,,,40.99,40.99,,https://nsearchives.nseindia.com/corporate/Disclosure11_12102024111206_43114.zip,10-Dec-2024 11:12,"10-Dec-2024, 11-12",10-Dec-2024 11:12,00:00:03
Citicorp International Limited,25-OCT-2024 to 25-OCT-2024,VEDL,1603046914.0,,1603046914,Reg29(1),Vedanta Limited,141079,N,Acquisition,Others,Equity shares,40.99,40.99,,,40.99,40.99,,https://nsearchives.nseindia.com/corporate/VEDL1_10282024204535_42686.zip,28-Oct-2024 20:45,"28-Oct-2024, 20-45",28-Oct-2024 20:45,00:00:03
"Standard Chartered Bank (Singapore) Limited ((in its capacity as the Agent under the Facility Agreement, acting for the benefit of the Lenders)",10-OCT-2024 to 10-OCT-2024,VEDL,2204724753.0,,2204724753,Reg29(1),Vedanta Limited,140772,N,Acquisition,Others,Equity shares,56.38,56.38,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/SAST_10152024114557_42598.zip,15-Oct-2024 11:45,"15-Oct-2024, 11-45",15-Oct-2024 11:46,00:00:04
Axis Trustee Services LTD,04-OCT-2024 to 04-OCT-2024,VEDL,0.0,,2204724753,Reg29(2),Vedanta Limited,140620,N,Acquisition,Others,Others,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_10072024181736_42564.zip,07-Oct-2024 18:17,"07-Oct-2024, 18-17",07-Oct-2024 18:17,00:00:04
Citicorp International Limited,04-OCT-2024 to 04-OCT-2024,VEDL,0.0,,2204724753,Reg29(2),Vedanta Limited,140605,N,Acquisition,Others,Others,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_10072024181652_42559.zip,07-Oct-2024 18:16,"07-Oct-2024, 18-16",07-Oct-2024 18:16,00:00:04
Citicorp International Limited,17-SEP-2024 to 17-SEP-2024,VEDL,1603046914.0,,1603046914,Reg29(1),Vedanta Limited,139523,N,Acquisition,Others,Equity shares,40.99,40.99,,,40.99,40.99,,https://nsearchives.nseindia.com/corporate/VEDL1_09232024151650_42253.zip,23-Sep-2024 15:16,"23-Sep-2024, 15-16",23-Sep-2024 15:16,00:00:03
Fidsider International Company ltd,15-FEB-2024 to 26-JUN-2024,VEDL,,163464540.0,0,Reg29(2),Vedanta Limited,135457,Y,Sale,Others,Equity shares,,-,4.4,4.4,0.0,0.0,,https://nsearchives.nseindia.com/corporate/VEDL_06282024195728_41082.zip,28-Jun-2024 19:57,"28-Jun-2024, 19-57",28-Jun-2024 19:57,00:00:27
Power Finance Corporation Limited,07-JUN-2024 to 07-JUN-2024,VEDL,,,2302670693,Reg29(1),Vedanta Limited,134476,N,Others,Others,Equity shares,,-,,,61.95,61.95,,https://nsearchives.nseindia.com/corporate/Disclosure6_06242024181237_40812.zip,24-Jun-2024 18:12,"24-Jun-2024, 18-12",24-Jun-2024 18:13,00:01:18
Axis Trustee Services Limited,07-FEB-2024 to 07-FEB-2024,VEDL,2368189293.0,,2368189293,Reg29(1),Vedanta Limited,128243,N,Acquisition,Others,Equity shares,63.71,63.71,,,63.71,63.71,,https://nsearchives.nseindia.com/corporate/Disclosure4_02132024183403_2.zip,13-Feb-2024 18:34,"13-Feb-2024, 18-34",13-Feb-2024 18:38,00:03:59
OCM Verde XI Investment Pte. Ltd.,07-FEB-2024 to 07-FEB-2024,VEDL,,2368189293.0,0,Reg29(2),Vedanta Limited,128240,N,Sale,Others,Equity shares,,-,63.71,63.71,0.0,0.0,,https://nsearchives.nseindia.com/corporate/Disclosure3_02132024183202_2.zip,13-Feb-2024 18:32,"13-Feb-2024, 18-32",13-Feb-2024 18:36,00:04:00
Axis Trustee Services Limited,11-JAN-2024 to 11-JAN-2024,VEDL,2368189293.0,,2368189293,Reg29(1),Vedanta Limited,127495,N,Acquisition,Others,Equity shares,63.71,63.71,,,63.71,63.71,,https://nsearchives.nseindia.com/corporate/Disclosure_01162024125801_1.zip,16-Jan-2024 12:58,"16-Jan-2024, 12-58",16-Jan-2024 13:02,00:04:00
Axis Trustee Services Limited,15-DEC-2023 to 15-DEC-2023,VEDL,,,2368189293,Reg29(1),Vedanta Limited,125669,N,Others,Others,Others,,-,,,63.71,63.71,,https://nsearchives.nseindia.com/corporate/Disclosure1_12182023165002_1.zip,18-Dec-2023 16:50,"18-Dec-2023, 16-50",18-Dec-2023 16:54,00:03:59
