symbol,file,n_rows,iso_mean,mtad_mean,tranad_mean,graph_score,composite_score,iso_mean_n,mtad_mean_n,tranad_mean_n,graph_score_n
TATASTEEL_NS,TATASTEEL_ohlcv.csv,1936,0.20308755242984658,0.22793048256071588,0.2813043162296964,,0.4381320905011692,0.7891165103759447,0.5684697756709505,0.45532373735382875,0.0
AXISBANK_NS,AXISBANK_ohlcv.csv,1936,0.17108383975958266,0.27555723521360714,0.39243790329037154,,0.4341265311541376,0.2592448791696284,0.8910914871586368,0.7006358664496941,0.0
ULTRACEMCO_NS,ULTRACEMCO_ohlcv.csv,1936,0.1833686221141237,0.21443717154930164,0.45513477717509687,,0.43330233315199784,0.4626387082631936,0.4770666282872743,0.8390306040542657,0.0
TECHM,TECHM_ohlcv.csv,1936,0.17921983138236156,0.18147176014901653,0.3891396822854401,0.6330161068849309,0.42613911009534877,0.39394897419321445,0.2537602541708766,0.6933554965961889,0.6330161068849309
HINDUNILVR,HINDUNILVR_ohlcv.csv,1936,0.1732806020565727,0.1962288774256387,0.2859570915608318,1.0,0.4192749342902816,0.29561572256743734,0.3537243744859182,0.465594099832657,1.0
AXISBANK,AXISBANK_ohlcv.csv,1936,0.17108383975958266,0.2702180538347972,0.37712722321989106,,0.4178229216176897,0.2592448791696284,0.8549240867286964,0.6668396431356333,0.0
LT,LT_ohlcv.csv,1936,0.16701427471213043,0.22414140777220226,0.31977030278759366,0.7659445028999137,0.41692249394577685,0.19186685049493393,0.5428027350869669,0.5402321193278479,0.7659445028999137
MAXHEALTH,MAXHEALTH_ohlcv.csv,1288,0.21582470273447002,0.19538811020587216,0.23009339768143441,,0.4162382538319602,1.0,0.3480290510742903,0.34228266854381795,0.0
JIOFIN_NS,JIOFIN_ohlcv.csv,540,0.19638585727396768,0.1875882769613444,0.39485597323282207,,0.415682455585109,0.6781594417170809,0.29519329363754343,0.7059734237226489,0.0
INDIGO_NS,INDIGO_ohlcv.csv,1936,0.20696949076451895,0.18303934577053924,0.31237891920232286,,0.40739324965357526,0.8533880847032059,0.2643790162730298,0.5239166552793684,0.0
CIPLA,CIPLA_ohlcv.csv,1936,0.17020055431539374,0.1947265619188692,0.37240863450323014,0.6852433309449851,0.4055567976386544,0.24462070403234676,0.34354774952219536,0.6564240066478103,0.6852433309449851
JSWSTEEL,JSWSTEEL_ohlcv.csv,1936,0.1826194978937581,0.171858278842174,0.3113398081132636,0.7659445028999137,0.40280142481579406,0.45023578249295637,0.18863891753109766,0.5216229602735095,0.7659445028999137
TATASTEEL,TATASTEEL_ohlcv.csv,1936,0.20308755242984658,0.23651579238206655,0.18971434750218955,,0.3989364257831908,0.7891165103759447,0.6266263199225152,0.2531514613874135,0.0
ONGC,ONGC_ohlcv.csv,1936,0.176254763758244,0.2600144732982063,0.3170798274920025,,0.39116713491553556,0.3448576317350631,0.7858054415838325,0.5342932646530594,0.0
DRREDDY,DRREDDY_ohlcv.csv,1936,0.17512707379084766,0.17557306754547677,0.3288928337469108,0.7579867154428723,0.38520282264312977,0.32618695659572244,0.21380274715452904,0.5603688534292248,0.7579867154428723
SBIN,SBIN_ohlcv.csv,1936,0.17460913809001744,0.19959805113914322,0.29798170356943754,0.6330161068849309,0.3814545253113539,0.31761171916978803,0.37654702203596424,0.4921367792457879,0.6330161068849309
