Stock,Date,Open,High,Low,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness,IsoForest_Anomaly,WaveLSTM_Anomaly,Pattern_Anomaly
BAJFINANCE,2020-04-09,234.2136105271236,251.37064761158868,231.8724546428998,249.96987915039065,71932460,0.09385321837854788,0.8981445290747148,0.19294840562273585,1,0,0
HINDUNILVR,2020-03-18,1852.4844262974823,1879.578848931823,1738.915468752708,1752.07568359375,3910994,-0.040043928027057696,1.0915496456295803,0.1927727881467713,1,0,0
BHARTIARTL,2020-03-16,451.43102705572846,471.218467365378,436.0407990059933,444.3094482421875,14936276,-0.054996510548321664,0.823135780979564,0.19252981990735232,1,0,0
HINDUNILVR,2019-01-18,1574.1713640162527,1591.127416461846,1553.7521565309196,1568.8641357421875,3234056,-0.004225026044681113,1.6396617265065234,0.19239177710090757,0,0,1
SHRIRAMFIN,2022-04-29,224.8027183225181,233.197057718126,220.99138344040315,226.2425537109375,30651345,0.05276771089514609,2.508288445260009,0.19060292674737528,1,0,0
BAJFINANCE,2025-07-25,906.4000244140624,924.9000244140624,898.0,913.75,24415481,-0.04713489924568959,2.4319565606032434,0.19006246456083126,1,0,0
BAJFINANCE,2023-11-16,686.7485975995427,729.8795890110422,685.4333398092524,728.0748291015625,45570430,0.019123030404929686,2.686690190460188,0.18798700574688457,0,0,0
BAJFINANCE,2022-01-19,770.1997289619227,789.3320789170277,733.2105070718378,742.9042358398438,50003170,-0.02223663353109928,3.1267130174569577,0.18789933971411538,0,0,0
BHARTIARTL,2025-10-23,2063.89990234375,2067.0,2003.5999755859373,2007.9000244140625,8790128,-0.017421079317806454,1.6361255428684152,0.18787332813793922,0,0,0
BHARTIARTL,2025-03-20,1646.2375771399904,1695.475972258272,1632.4527924932477,1691.1124267578125,12074465,0.04159667160463454,1.8249969121044356,0.1874163879394484,0,0,0
HDFCBANK,2020-11-24,666.8116839168157,684.3344341333797,663.9938593712611,681.114013671875,40154400,0.031263457544116635,1.6069980630731613,0.1864181985787435,0,0,0
BHARTIARTL,2020-03-30,424.2830899586882,429.492845844444,409.1318377249441,412.04736328125,10210726,-0.039870840917840655,0.6723532159087293,0.1862950502050241,1,0,0
HDFCBANK,2020-05-04,453.4602994081905,454.6442688583424,434.5167882057595,437.12152099609375,26722324,-0.07865849065693997,0.7290992199404129,0.18610444916705876,1,0,0
HDFCBANK,2020-04-20,450.3820286359119,455.0942333496393,442.8046233171163,447.4694519042969,66232986,0.037954589359737945,1.2351938765253891,0.18563872450117755,1,0,0
HINDUNILVR,2021-12-17,2163.156171402099,2168.744826893624,2090.831800929688,2094.82373046875,2439222,-0.034315003764083474,1.7070001771927463,0.18545351328849513,1,0,0
HINDUNILVR,2020-05-13,1889.7790479940768,1889.7790479940768,1799.0696759251489,1817.6031494140625,8432979,-0.007854642471507134,0.1784811174634716,0.1854355434619575,1,0,0
BAJFINANCE,2019-01-28,254.63343753293347,254.63343753293347,229.75545800385376,239.85299682617188,23640470,-0.054259344983846325,1.817925185714591,0.18539190929594923,0,0,0
HDFCBANK,2020-04-15,440.6734653560616,440.6734653560616,399.2345312145728,408.8483581542969,57978752,-0.03579600606311373,1.1448027616001306,0.18484731387988518,1,0,0
SHRIRAMFIN,2025-08-26,619.9000244140625,620.4500122070312,593.0999755859375,594.7000122070312,18048586,-0.04211961731048919,2.3686172705963404,0.18459078238175497,1,0,0
HINDUNILVR,2018-09-04,1517.8337001899215,1518.683357174133,1452.406727753045,1476.869140625,3852609,-0.028191378274433965,2.0719127249541476,0.1845462033026335,1,0,0
HINDUNILVR,2020-04-01,2088.501483334562,2117.37179401561,1965.41549976248,1985.0872802734373,2774626,-0.051707980942064524,0.9558653152710266,0.18362106779375348,1,0,0
BAJFINANCE,2019-05-17,306.04793228381493,323.5112918845041,304.58937478803347,322.0576171875,58487160,0.061430007842154355,1.9283540631295109,0.18361154590711887,0,0,0
HDFCBANK,2020-03-16,490.1634119366812,491.1105876119212,471.219898431882,473.3510437011719,31986322,-0.06571336395104088,0.7036509131843248,0.18352160315071805,1,0,0
BHARTIARTL,2019-11-18,378.5425107032925,402.010231155017,374.81444239087705,391.16058349609375,43462375,0.04108887846879017,1.6648187651916466,0.1832935566971209,0,0,0
HDFCBANK,2020-04-17,433.33283252946575,435.7007715050366,420.1907712150475,431.1069641113281,55883462,0.03472570400140684,1.1343127293684667,0.1832063975123168,1,0,0
SHRIRAMFIN,2020-11-02,126.5724221778942,139.69662663031514,126.5724221778942,137.54421997070312,58773715,0.08738885116457551,1.6860545907501037,0.18262885705279075,1,0,0
SHRIRAMFIN,2019-05-09,177.17681895166783,183.3287860016808,174.18871359200512,181.5798797607422,15833680,0.005646399740932395,2.0361205361424357,0.18252427629375786,1,1,0
HDFCBANK,2021-07-19,707.2729809603507,708.1528987460736,697.2845931996463,699.6627807617188,25111600,-0.033730778548343276,1.8279555459054324,0.1824589174155577,0,0,0
HINDUNILVR,2020-03-26,1902.5294864693208,2049.158135258962,1876.1181149482052,1998.9764404296875,3201540,0.05112182098941176,0.7705040812259755,0.18226928723711475,1,0,0
BHARTIARTL,2020-03-27,449.9494388674533,453.8686958141139,418.213036334451,429.15826416015625,16378409,-0.046207659132656564,1.015659719999691,0.1822062528662797,1,0,0
BHARTIARTL,2018-10-22,251.94783718366435,252.42655308539625,240.98032972647945,248.7272186279297,7247010,-0.005395019075592478,1.6528558627745167,0.1819128406227454,0,1,0
BAJFINANCE,2020-04-08,213.9366261632592,232.54832950894945,210.03306567945617,228.52232360839844,91093390,0.03530296206454486,1.03763065782971,0.18187947435037485,1,0,0
BAJFINANCE,2021-10-27,772.1620667841065,777.0628873092197,732.0331628665933,734.1083374023438,31122330,-0.047545398191769506,1.921279965587464,0.18185073719526687,0,0,0
BAJFINANCE,2022-01-05,732.9064214381782,754.6142820337826,727.5199381532498,752.61767578125,25832620,0.044641173383883626,2.0695702444088413,0.18176059273285028,0,0,0
HDFCBANK,2020-04-09,432.38564965509744,440.86288260703225,421.4931305509712,438.0923767089844,44457146,0.0406681166251448,0.9871077582325098,0.18173188705635968,1,0,0
SHRIRAMFIN,2020-04-30,127.0941016979138,142.10333569048015,126.18768738897622,138.80645751953125,34771661,0.12027561024794764,0.9647686536738598,0.18164706037388706,1,0,0
BHARTIARTL,2021-08-30,571.7714395478874,599.592550798768,566.1112947733934,595.2275390625,40506274,0.04251024956427596,2.0819390485601876,0.18160058788270209,0,0,0
BAJFINANCE,2025-04-30,878.5787472966435,883.3492984982109,850.3528899743571,858.15478515625,39690570,-0.05042336843275441,2.1857109532668777,0.18150382160878958,0,0,0
BAJFINANCE,2024-06-04,683.9202924169468,683.9202924169468,630.4948478762619,643.7313232421875,32993870,-0.05870821017819128,1.799749799208792,0.1814591875342837,0,0,0
HDFCBANK,2020-04-08,416.7336121910767,447.5404944115309,410.1744034746511,420.9722290039063,56219352,-0.008034718451907952,1.3017182054071654,0.1813526176101157,1,0,0
SHRIRAMFIN,2022-02-25,207.63736583412253,215.7895054550482,205.15264282088225,209.8522186279297,9287685,0.05511910034570744,1.525689470595067,0.181183097458408,1,0,0
