Stock,Date,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness
BAJFINANCE,2025-07-25,913.75,24415481,-0.04713489924568959,2.4319565606032434,0.25048051683526934
BAJFINANCE,2025-04-30,858.15478515625,39690570,-0.05042336843275441,2.1857109532668777,0.25034601479387114
BHARTIARTL,2024-06-04,1281.781494140625,19924421,-0.0657034779839557,1.598748082489678,0.25021278964704835
HDFCBANK,2024-06-04,731.6848754882812,89531240,-0.056640261661991764,1.4669982881269918,0.25007514710596296
BHARTIARTL,2025-03-21,1711.4921875,14715349,0.012051097502286945,1.8637026708005309,0.24939989890088127
SHRIRAMFIN,2024-07-26,575.6807250976562,32196680,0.09182550615254614,2.566784944939576,0.24857102492526323
HINDUNILVR,2024-09-09,2858.137451171875,3342754,0.029183371104858136,1.5732444608353786,0.24679510178979572
SHRIRAMFIN,2024-09-12,669.31494140625,9163615,0.036845652895990844,1.5556274777727246,0.24182006765001213
BAJFINANCE,2024-05-03,685.4580688476562,68186010,0.007090180593982254,1.9761081242184875,0.24178377205297602
SHRIRAMFIN,2025-02-04,574.1742553710938,12290382,0.05602851767368344,1.7638899070687106,0.2410158029011787
BHARTIARTL,2025-10-17,2012.0,6743801,0.02266950037231008,1.5313953253368704,0.238357223839992
SHRIRAMFIN,2025-10-31,748.9000244140625,18363586,0.014426040520233663,1.8300434494637217,0.23732199493519673
BAJFINANCE,2025-06-06,937.1500244140624,19783860,0.048970224764313564,2.0236340526913685,0.2349187333900652
BHARTIARTL,2025-03-20,1691.1124267578125,12074465,0.04159667160463454,1.8249969121044356,0.23444968940602456
SHRIRAMFIN,2025-06-06,685.1763305664062,20115034,0.05648941386394668,2.4754628086185586,0.23422945768204145
BAJFINANCE,2024-12-11,707.1465454101562,19931040,0.025792200982825753,1.602166678697697,0.2342105376215966
SHRIRAMFIN,2025-03-20,664.917236328125,8747482,-7.4806199166777e-05,1.5404105595726547,0.23234671995971312
SHRIRAMFIN,2024-06-03,491.2156982421875,15161795,0.06588638394330837,1.744409088676018,0.23194651493427776
SHRIRAMFIN,2025-08-26,594.7000122070312,18048586,-0.04211961731048919,2.3686172705963404,0.23103070917465435
SHRIRAMFIN,2025-10-01,648.7000122070312,15107673,0.05291354960709049,2.2666231556020064,0.2304124958570945
HDFCBANK,2025-04-07,867.1289672851562,37995450,-0.032796063660856634,1.5461582027101832,0.22922949360442024
